"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2008,Western,Washington,178
2008,Western,Wyoming,31
2008,All,U.S. Total,"6,567"
2009,Northeastern,Connecticut,42
2009,Northeastern,Maine,42
2009,Northeastern,Massachusetts,81
2009,Northeastern,New Hampshire,30
2009,Northeastern,New Jersey,73
2009,Northeastern,New York,198
2009,Northeastern,Pennsylvania,279
2009,Northeastern,Rhode Island,17
2009,Northeastern,Vermont,13
2009,Midwestern,Illinois,177
2009,Midwestern,Indiana,135
2009,Midwestern,Iowa,74
2009,Midwestern,Kansas,73
2009,Midwestern,Michigan,212
2009,Midwestern,Minnesota,97
2009,Midwestern,Missouri,168
2009,Midwestern,Nebraska,44
2009,Midwestern,North Dakota,11
2009,Midwestern,Ohio,207
2009,Midwestern,South Dakota,28
2009,Midwestern,Wisconsin,130
2009,Southern,Alabama,154
2009,Southern,Arkansas,77
2009,Southern,Delaware,13
2009,Southern,District of Columbia,<10
2009,Southern,Florida,557
2009,Southern,Georgia,212
2009,Southern,Kentucky,101
2009,Southern,Louisiana,89
2009,Southern,Maryland,86
2009,Southern,Mississippi,75
2009,Southern,North Carolina,182
2009,Southern,Oklahoma,104
2009,Southern,South Carolina,123
2009,Southern,Tennessee,177
2009,Southern,Texas,464
2009,Southern,Virginia,182
2009,Southern,West Virginia,52
2009,Western,Alaska,30
2009,Western,Arizona,206
2009,Western,California,594
2009,Western,Colorado,178
2009,Western,Hawaii,22
2009,Western,Idaho,60
2009,Western,Montana,51
2009,Western,Nevada,103
2009,Western,New Mexico,80
2009,Western,Oregon,123
2009,Western,Utah,66
2009,Western,Washington,201
2009,Western,Wyoming,22
2009,All,U.S. Total,"6,519"
2010,Northeastern,Connecticut,47
2010,Northeastern,Maine,47
2010,Northeastern,Massachusetts,97
2010,Northeastern,New Hampshire,35
2010,Northeastern,New Jersey,78
2010,Northeastern,New York,195
2010,Northeastern,Pennsylvania,268
2010,Northeastern,Rhode Island,17
2010,Northeastern,Vermont,18
2010,Midwestern,Illinois,173
2010,Midwestern,Indiana,136
2010,Midwestern,Iowa,73
2010,Midwestern,Kansas,69
2010,Midwestern,Michigan,192
2010,Midwestern,Minnesota,96
2010,Midwestern,Missouri,172
2010,Midwestern,Nebraska,35
2010,Midwestern,North Dakota,23
2010,Midwestern,Ohio,272
2010,Midwestern,South Dakota,19
2010,Midwestern,Wisconsin,142
2010,Southern,Alabama,126
2010,Southern,Arkansas,87
2010,Southern,Delaware,14
2010,Southern,District of Columbia,<10
2010,Southern,Florida,565
2010,Southern,Georgia,188
2010,Southern,Kentucky,111
2010,Southern,Louisiana,107
2010,Southern,Maryland,82
2010,Southern,Mississippi,77
2010,Southern,North Carolina,194
2010,Southern,Oklahoma,115
2010,Southern,South Carolina,119
2010,Southern,Tennessee,143
2010,Southern,Texas,500
2010,Southern,Virginia,170
2010,Southern,West Virginia,60
2010,Western,Alaska,26
2010,Western,Arizona,202
2010,Western,California,568
2010,Western,Colorado,142
2010,Western,Hawaii,21
2010,Western,Idaho,59
2010,Western,Montana,59
2010,Western,Nevada,120
2010,Western,New Mexico,71
2010,Western,Oregon,135
2010,Western,Utah,67
2010,Western,Washington,179
2010,Western,Wyoming,27
2010,All,U.S. Total,"6,545"
2011,Northeastern,Connecticut,55
2011,Northeastern,Maine,49
2011,Northeastern,Massachusetts,72
2011,Northeastern,New Hampshire,33
2011,Northeastern,New Jersey,75
2011,Northeastern,New York,229
2011,Northeastern,Pennsylvania,269
2011,Northeastern,Rhode Island,17
2011,Northeastern,Vermont,29
2011,Midwestern,Illinois,158
2011,Midwestern,Indiana,131
2011,Midwestern,Iowa,78
2011,Midwestern,Kansas,59
2011,Midwestern,Michigan,192
2011,Midwestern,Minnesota,109
2011,Midwestern,Missouri,145
2011,Midwestern,Nebraska,39
2011,Midwestern,North Dakota,22
2011,Midwestern,Ohio,250
2011,Midwestern,South Dakota,23
2011,Midwestern,Wisconsin,110
2011,Southern,Alabama,127
2011,Southern,Arkansas,83
2011,Southern,Delaware,16
2011,Southern,District of Columbia,<10
2011,Southern,Florida,547
2011,Southern,Georgia,193
2011,Southern,Kentucky,116
2011,Southern,Louisiana,81
2011,Southern,Maryland,92
2011,Southern,Mississippi,63
2011,Southern,North Carolina,202
2011,Southern,Oklahoma,127
2011,Southern,South Carolina,123
2011,Southern,Tennessee,162
2011,Southern,Texas,492
2011,Southern,Virginia,180
2011,Southern,West Virginia,60
2011,Western,Alaska,19
2011,Western,Arizona,207
2011,Western,California,597
2011,Western,Colorado,141
2011,Western,Hawaii,24
2011,Western,Idaho,58
2011,Western,Montana,59
2011,Western,Nevada,81
2011,Western,New Mexico,70
2011,Western,Oregon,139
2011,Western,Utah,54
2011,Western,Washington,162
2011,Western,Wyoming,25
2011,All,U.S. Total,"6,447"
2012,Northeastern,Connecticut,44
2012,Northeastern,Maine,38
2012,Northeastern,Massachusetts,70
2012,Northeastern,New Hampshire,34
2012,Northeastern,New Jersey,67
2012,Northeastern,New York,194
2012,Northeastern,Pennsylvania,275
2012,Northeastern,Rhode Island,13
2012,Northeastern,Vermont,<10
2012,Midwestern,Illinois,185
2012,Midwestern,Indiana,156
2012,Midwestern,Iowa,54
2012,Midwestern,Kansas,73
2012,Midwestern,Michigan,166
2012,Midwestern,Minnesota,119
2012,Midwestern,Missouri,172
2012,Midwestern,Nebraska,43
2012,Midwestern,North Dakota,19
2012,Midwestern,Ohio,260
2012,Midwestern,South Dakota,19
2012,Midwestern,Wisconsin,103
2012,Southern,Alabama,127
2012,Southern,Arkansas,85
2012,Southern,Delaware,19
2012,Southern,District of Columbia,<10
2012,Southern,Florida,537
2012,Southern,Georgia,190
2012,Southern,Kentucky,116
2012,Southern,Louisiana,86
2012,Southern,Maryland,93
2012,Southern,Mississippi,72
2012,Southern,North Carolina,190
2012,Southern,Oklahoma,111
2012,Southern,South Carolina,122
2012,Southern,Tennessee,170
2012,Southern,Texas,492
2012,Southern,Virginia,185
2012,Southern,West Virginia,63
2012,Western,Alaska,23
2012,Western,Arizona,227
2012,Western,California,544
2012,Western,Colorado,163
2012,Western,Hawaii,25
2012,Western,Idaho,47
2012,Western,Montana,53
2012,Western,Nevada,96
2012,Western,New Mexico,65
2012,Western,Oregon,140
2012,Western,Utah,69
2012,Western,Washington,183
2012,Western,Wyoming,30
2012,All,U.S. Total,"6,441"
2013,Northeastern,Connecticut,34
2013,Northeastern,Maine,46
2013,Northeastern,Massachusetts,58
2013,Northeastern,New Hampshire,26
2013,Northeastern,New Jersey,100
2013,Northeastern,New York,198
2013,Northeastern,Pennsylvania,289
2013,Northeastern,Rhode Island,18
2013,Northeastern,Vermont,13
2013,Midwestern,Illinois,172
2013,Midwestern,Indiana,153
2013,Midwestern,Iowa,66
2013,Midwestern,Kansas,71
2013,Midwestern,Michigan,184
2013,Midwestern,Minnesota,96
2013,Midwestern,Missouri,201
2013,Midwestern,Nebraska,36
2013,Midwestern,North Dakota,16
2013,Midwestern,Ohio,231
2013,Midwestern,South Dakota,19
2013,Midwestern,Wisconsin,127
2013,Southern,Alabama,134
2013,Southern,Arkansas,97
2013,Southern,Delaware,18
2013,Southern,District of Columbia,<10
2013,Southern,Florida,549
2013,Southern,Georgia,177
2013,Southern,Kentucky,118
2013,Southern,Louisiana,86
2013,Southern,Maryland,83
2013,Southern,Mississippi,49
2013,Southern,North Carolina,209
2013,Southern,Oklahoma,114
2013,Southern,South Carolina,126
2013,Southern,Tennessee,174
2013,Southern,Texas,495
